Date,MKT,SMB,HML,RMW,CMA
20120626,0.52,-0.1,-0.06,-0.08,0.04
20120627,0.92,0.4,0.48,-0.54,0.01
20120628,-0.24,0.18,0.44,0.2,0.51
20120629,2.55,0.33,-0.7,-0.25,-0.61
20120702,0.33,0.7,-0.02,-0.25,0.2
20120703,0.76,0.72,0.07,0.13,-0.6
20120705,-0.36,0.45,-0.88,0.57,-0.28
20120706,-0.99,-0.38,0.36,0.12,0.65
20120709,-0.23,-0.25,-0.24,0.24,-0.01
20120710,-0.84,-0.39,0.31,-0.03,0.3
20120711,-0.08,-0.28,0.74,-0.18,0.09
20120712,-0.5,0.14,-0.82,-0.15,0.07
20120713,1.62,-0.28,0.57,-0.14,0.04
20120716,-0.31,-0.43,-0.26,0.02,0.01
20120717,0.67,-0.52,0.24,-0.08,0.18
20120718,0.71,0.23,-0.79,0.47,-0.7
20120719,0.27,-0.46,-0.98,0.51,-0.86
20120720,-1.06,-0.36,0.07,-0.02,0.34
20120723,-1.02,-0.66,0.2,0.09,0.37
20120724,-0.99,-0.57,0.26,-0.28,0.1
20120725,-0.01,0.24,-0.05,-0.45,0.05
20120726,1.53,-0.75,0.38,0.14,0.24
20120727,1.96,0.57,0.08,-0.16,-0.39
20120730,-0.13,-0.4,0.26,0.2,0.29
20120731,-0.47,0.03,0.26,0.42,-0.05
20120801,-0.5,-1.57,0.29,0.07,0.18
20120802,-0.69,0.17,-0.41,-0.04,0.07
20120803,1.99,0.63,0.56,-0.32,-0.19
20120806,0.34,0.54,0.08,-0.33,-0.18
20120807,0.64,0.4,0.07,0.1,-0.49
20120808,0.09,-0.19,0.59,0.19,0.42
20120809,0.12,0.34,0.12,-0.24,-0.4
20120810,0.17,-0.35,-0.02,0.13,0.07
20120813,-0.14,-0.17,0,-0.05,0.06
20120814,-0.03,-0.42,-0.05,0.29,0.25
20120815,0.27,0.73,-0.07,-0.08,-0.1
20120816,0.75,0.48,-0.17,0.03,-0.21
20120817,0.27,0.59,0.12,0.04,-0.12
20120820,-0.06,-0.44,0.59,-0.23,0.15
20120821,-0.31,0.16,0.4,-0.07,-0.07
20120822,0,-0.51,-0.35,-0.2,-0.32
20120823,-0.78,-0.06,-0.35,-0.16,0.1
20120824,0.61,-0.3,-0.03,-0.13,0.18
20120827,-0.06,0.12,-0.12,0.03,-0.16
20120828,0.01,0.57,-0.08,-0.02,-0.01
20120829,0.15,0.27,0.12,-0.16,0.13
20120830,-0.8,-0.44,0,0.01,0.24
20120831,0.52,-0.06,0,-0.07,-0.33
20120904,0.08,0.94,-0.16,-0.25,0.1
20120905,-0.05,-0.05,0.31,-0.14,0.04
20120906,2.07,-0.03,0.34,-0.13,0.09
20120907,0.45,0.12,0.78,0.07,0.05
20120910,-0.57,0.29,-0.07,0.13,0.37
20120911,0.28,0.09,0.54,-0.08,0.18
20120912,0.27,0.12,0.32,-0.41,0.02
20120913,1.56,-0.31,0.56,-0.33,0
20120914,0.54,0.6,0.48,-0.01,-0.4
20120917,-0.42,-0.3,-0.79,0.22,-0.19
20120918,-0.15,-0.05,-0.23,-0.08,0.05
20120919,0.18,-0.14,0.06,-0.14,0.29
20120920,-0.13,-0.43,-0.17,-0.01,0.12
20120921,0.04,0.46,-0.04,-0.18,0.15
20120924,-0.26,-0.15,0.33,-0.06,0.45
20120925,-1.11,-0.39,-0.36,0.01,0.39
20120926,-0.57,-0.04,0.03,0.12,0.14
20120927,0.99,0.23,-0.15,-0.06,-0.35
20120928,-0.46,-0.3,-0.25,0,0.02
20121001,0.26,0.1,0.23,-0.03,0.18
20121002,0.1,-0.16,0.27,-0.2,0.04
20121003,0.36,-0.68,-0.02,-0.35,0.37
20121004,0.76,-0.06,0.77,-0.14,0.21
20121005,-0.03,-0.19,0.22,-0.1,0.61
20121008,-0.36,-0.19,0.22,0,0.12
20121009,-1.05,-0.25,0.34,0.08,0.06
20121010,-0.58,0.37,0.26,-0.34,0.24
20121011,0.11,0.42,0.68,-0.17,0.07
20121012,-0.34,-0.41,-0.9,0.54,-0.2
20121015,0.79,-0.18,0.16,-0.2,0.24
20121016,1,-0.25,-0.24,0.24,-0.63
20121017,0.49,0.25,1.13,-0.64,0.36
20121018,-0.31,-0.49,0.27,-0.07,0.4
20121019,-1.68,-0.34,0.47,-0.13,0.43
20121022,0.01,-0.07,0.17,0.11,-0.16
20121023,-1.29,0.91,-0.51,-0.05,-0.01
20121024,-0.28,-0.18,0.43,-0.36,0.13
20121025,0.27,0.2,-0.08,0.09,-0.1
20121026,-0.07,-0.18,-0.4,0.36,-0.21
20121031,0.14,0.59,0.38,0.01,0.14
20121101,1.19,0.2,0.21,0.29,0.03
20121102,-1.04,-0.5,0.25,0.27,0.47
20121105,0.28,0.35,-0.23,-0.06,-0.25
20121106,0.8,0.03,0.56,0.23,0.17
20121107,-2.31,-0.23,-1.46,0.23,0.05
20121108,-1.24,-0.26,0.41,-0.32,0.4
20121109,0.15,0.01,-0.14,0.08,-0.06
20121112,0,-0.18,0.05,0.05,-0.03
20121113,-0.4,-0.23,-0.3,0.06,0.26
20121114,-1.4,-0.39,-0.24,0.14,-0.27
20121115,-0.24,-0.33,0.17,0.09,0.1
20121116,0.58,0.06,0.03,-0.4,0.25
20121119,1.98,0.27,0,0.48,-0.19
20121120,0.11,-0.05,0.14,-0.3,0.16
20121121,0.31,0.36,-0.06,0.01,0.09
20121123,1.28,-0.15,0.07,0.14,-0.04
20121126,-0.14,0.49,-0.17,-0.08,-0.3
20121127,-0.43,0.4,-0.21,-0.01,0.04
20121128,0.83,0,-0.27,0.24,-0.14
20121129,0.54,0.69,-0.03,-0.22,-0.19
20121130,0.02,-0.15,0.27,-0.19,0.32
20121203,-0.46,0.28,0.22,-0.01,0.02
20121204,-0.16,0.34,-0.06,-0.02,0.06
20121205,0.17,-0.57,0.99,-0.55,0.64
20121206,0.31,-0.19,-0.15,0.16,-0.18
20121207,0.27,-0.34,0.34,-0.08,0.42
20121210,0.11,0.43,0.02,-0.16,-0.01
20121211,0.68,0.41,-0.06,-0.3,-0.27
20121212,-0.02,-0.63,0.54,-0.3,0.17
20121213,-0.57,0.05,0.06,0.05,0.21
20121214,-0.34,0.33,0.26,-0.2,0.35
20121217,1.16,0,0.59,-0.36,0.06
20121218,1.2,0.4,0.07,0.15,-0.6
20121219,-0.6,0.61,0.24,-0.02,-0.25
20121220,0.53,-0.14,0.72,-0.43,0.24
20121221,-0.88,0.41,-0.34,0.19,-0.13
20121224,-0.24,-0.22,0,-0.1,0.16
20121226,-0.54,-0.11,0.34,-0.15,0.15
20121227,-0.11,-0.03,-0.17,0.17,-0.03
20121228,-1,0.46,0.01,-0.11,0.13
